Over 18,White,Median Income,Graduation %,Unemployment...21,Bachelor,16 Rep Vote,16 Dem Vote,18 Inc,16 Funds Got,16 Funds Spent,won,total_votes
0.7813049297,0.9009340637,0.62811,0.919,0.07389056366,0.353,0.6260846963,0.3739153037,1,0.6339789907,0.618325384,0,158586
0.7810452188,0.9077507583,0.57874,0.908,0.07389056366,0.322,0.6616459872,0.3383540128,1,0.9999991169,0.9999968204,0,140183
0.7872335367,0.9290097816,0.62293,0.937,0.07389056366,0.342,0.6532937527,0.3467062473,0,1,1,0,144071
0.7480354728,0.7131473112,0.51527,0.895,0.05244618786,0.303,0,1,0,1,1,0,109641
0.7660934525,0.6606915089,0.40205,0.854,0.05244618786,0.168,0.7526543655,0.2473456345,1,1,1,0,63472
0.7558851571,0.7926701341,0.49178,0.881,0.05244618786,0.222,0.7829086592,0.2170913408,1,1,1,0,66501
0.7639904956,0.7542265494,0.52339,0.896,0.05244618786,0.264,0.7274842756,0.2725157244,1,1,1,0,90459
0.7441558029,0.6878099936,0.47442,0.876,0.05244618786,0.314,0.608008138,0.391991862,1,0.773789656,0.7608304016,0,145658
0.7759208695,0.7996173779,0.66106,0.925,0.0883828766,0.424,1,0,-1,-1,-1,1,297071
0.783284965,0.9002738912,0.46384,0.894,0.0883828766,0.25,0,1,1,1,1,0,168881
0.8059972119,0.7845214318,0.57649,0.92,0.0883828766,0.417,0.2214992022,0.7785007978,-1,-1,-1,1,343574
0.8104953765,0.8833179237,0.4418,0.917,0.0883828766,0.273,0.4169003438,0.5830996562,-1,-0.9880802049,-0.9431087442,1,240950
0.770360333,0.856614681,0.56481,0.891,0.0883828766,0.315,0.4457393846,0.5542606154,-1,-0.4709206615,-0.3741710637,1,234863
0.7834713807,0.7430746223,0.61354,0.932,0.09203065555,0.4,0.6326985635,0.3673014365,0,0.9888227436,0.4854539155,0,210627
0.7717705133,0.7015591012,0.55143,0.9,0.09203065555,0.337,0.6356849287,0.3643150713,1,0.9125166529,0.7463008987,0,155118
0.7848985565,0.7649721114,0.42513,0.831,0.09203065555,0.22,0.728997748,0.271002252,1,0.99997193,0.9999995182,0,95712
0.7706432423,0.7340241513,0.49093,0.88,0.09203065555,0.316,0.6842286549,0.3157713451,0,0.9430429612,0.8982280821,0,133023
0.7700361187,0.6872596438,0.46062,0.867,0.09203065555,0.251,0.6037803848,0.3962196152,1,0.05904001211,0.0671094173,0,145958
0.7943821984,0.3902240113,0.35014,0.831,0.09203065555,0.192,0.2826048394,0.7173951606,-1,-1,-1,1,197477
0.7908183317,0.6662750473,0.41296,0.862,0.09203065555,0.219,0.6304184737,0.3695815263,1,0.7970674638,0.7300295958,0,138863
0.6938536849,0.8982388962,0.62875,0.923,0.05401647523,0.315,0.7137010405,0.2862989595,1,1,1,0,104194
0.7230105679,0.8232535789,0.56311,0.903,0.05401647523,0.331,0.684403122,0.315596878,1,0.05522970514,0.06215237979,0,129762
0.7016604695,0.910736729,0.66478,0.946,0.05401647523,0.422,0,1,1,0.9851612779,0.9608635197,0,96067
0.6891407996,0.7972510554,0.65081,0.917,0.05401647523,0.324,0.5654840811,0.4345159189,1,0.1552447987,0.1616468202,0,175923
0.7620494834,0.7219977669,0.80492,0.908,0.06057554127,0.369,0.6205235608,0.3794764392,1,0.9722351829,0.9745081517,0,186923
0.7871206747,0.6692213498,0.63681,0.927,0.06057554127,0.35,0.6146040043,0.3853959957,1,0.9940784025,0.9881647683,1,185505
0.77207234,0.4484577747,0.50822,0.895,0.06057554127,0.266,0.3314518044,0.6685481956,-1,-0.7317565062,-0.7490459207,1,233326
0.7875525166,0.5194384239,0.52464,0.875,0.06057554127,0.298,0.42134982520000003,0.5786501748,-1,-0.4136130248,-0.2472244646,1,241142
0.8037834358,0.760818855,0.50005,0.873,0.06057554127,0.291,0.5834309191,0.4165690809,0,-0.1136389752,-0.1129512954,0,190315
0.7980400206,0.8228087725,0.49798,0.875,0.06057554127,0.273,0.6677832372,0.3322167628,0,0.7749980957,0.8343874783,0,134729
0.7681157953,0.6984738332,0.70994,0.916,0.06057554127,0.403,0.5765409184,0.4234590816,1,0.4243757491,0.3499248952,1,230893
0.7908331868,0.6271623697,1.00649,0.912,0.06057554127,0.622,0.2851466497,0.7148533503,-1,-0.9778629131,-0.8986680693,1,301454
0.7338875309,0.6844532171,1.16069,0.924,0.06057554127,0.561,0.528957122,0.471042878,1,0.08689712012,0.08733550038,1,268734
0.7644121483,0.5773391672,1.05024,0.92,0.06057554127,0.568,0,1,-1,-1,-1,1,280725
0.7721716825,0.6725333259,0.44824,0.878,0.07951458019,0.25,1,0,1,1,1,0,116949
0.7744606516,0.6455914132,0.43173,0.847,0.07951458019,0.231,0.5461524446,0.4538475554,1,1,1,0,105286
0.7800005067,0.686761775,0.42953,0.856,0.07951458019,0.217,0.6702312068,0.3297687932,1,0.9999999998,1,0,104595
0.7703605702,0.8666915614,0.40267,0.822,0.07951458019,0.179,1,0,1,1,1,0,56237
0.7843237568,0.3313429684,0.33366,0.843,0.07951458019,0.207,0,1,-1,-1,-1,1,225742
0.7615870777,0.6647027331,0.48583,0.863,0.08337377735,0.253,0.4612181964,0.5387818036,-1,-0.02543072638,-0.02412366143,1,188469
0.7971014493,0.816445479,0.48125,0.921,0.08337377735,0.354,0.5695849265,0.4304150735,0,0.3700974322,0.3769915748,1,209945
